GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemWebSpringBoot,za.ac.nwu.acsys.web.sb,RestServiceApplication,8,0,0,0,2,0,2,0,2,0
AccountSystemWebSpringBoot,za.ac.nwu.acsys.web.sb.config,WebConfig,3,0,0,0,1,0,1,0,1,0
AccountSystemWebSpringBoot,za.ac.nwu.acsys.web.sb.config,SwaggerConfiguration,40,0,0,0,10,0,3,0,3,0
AccountSystemWebSpringBoot,za.ac.nwu.acsys.web.sb.controller,AccountInfoController,0,47,0,0,0,11,0,4,0,4
AccountSystemWebSpringBoot,za.ac.nwu.acsys.web.sb.controller,AccountTransactionController,35,26,0,0,6,7,2,2,2,2
AccountSystemWebSpringBoot,za.ac.nwu.acsys.web.sb.controller,AccountTypeController,17,81,0,0,3,17,1,5,1,5
