GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AccountSystemTranslator,za.ac.nwu.acsys.translator.impl,AccountInfoTranslatorImpl,88,16,0,0,21,5,4,3,4,3
AccountSystemTranslator,za.ac.nwu.acsys.translator.impl,AccountTransactionTranslatorImpl,24,12,0,0,6,4,1,2,1,2
AccountSystemTranslator,za.ac.nwu.acsys.translator.impl,AccountTypeTranslatorImpl,128,6,2,0,30,3,8,1,7,1
AccountSystemTranslator,za.ac.nwu.acsys.translator.config,TranslatorConfig,3,0,0,0,1,0,1,0,1,0
